country,country_code,#,pos,player_name,first_names,last_names,name_on_shirt,dob,age,club,height_cm,caps,goals,player_image_url,flag_code,flag_url,flag_colors
Algeria,ALG,22,MF,MAZA Ibrahim,Ibrahim,MAZA,MAZA,24/11/2005,20,Bayer 04 Leverkusen (GER),180,18,2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS1fYKIH5E1fNxH0__3pjZqBvRWEIttrUg4pGYlbeq6UQ&s=10,DZ,https://flagsapi.com/DZ/flat/64.png,"[{""hex"": ""#FFFFFF"", ""percent"": 47.72}, {""hex"": ""#006233"", ""percent"": 45.89}, {""hex"": ""#D21034"", ""percent"": 5.49}, {""hex"": ""#EC99A8"", ""percent"": 0.43}, {""hex"": ""#902A34"", ""percent"": 0.13}, {""hex"": ""#DD4D68"", ""percent"": 0.11}]"
Argentina,ARG,8,MF,BARCO Valentin,Valentin,BARCO,BARCO,23/07/2004,21,RC Strasbourg (FRA),172,4,2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS1fYKIH5E1fNxH0__3pjZqBvRWEIttrUg4pGYlbeq6UQ&s=10,AR,https://flagsapi.com/AR/flat/64.png,"[{""hex"": ""#74ACDF"", ""percent"": 66}, {""hex"": ""#FFFFFF"", ""percent"": 28.63}, {""hex"": ""#D1E3F4"", ""percent"": 2.46}, {""hex"": ""#D7A454"", ""percent"": 1.71}, {""hex"": ""#DBB892"", ""percent"": 0.79}, {""hex"": ""#F3B10E"", ""percent"": 0.41}]"
Argentina,ARG,18,FW,PAZ Nico,Nicolas,PAZ MARTÍNEZ,NICO PAZ,08/09/2004,21,Como (ITA),185,10,1,https://png.pngtree.com/png-vector/20250909/ourlarge/pngtree-focused-footballer-silhouette-in-action-preparing-to-kick-the-ball-png-image_17376673.webp,AR,https://flagsapi.com/AR/flat/64.png,"[{""hex"": ""#74ACDF"", ""percent"": 66}, {""hex"": ""#FFFFFF"", ""percent"": 28.63}, {""hex"": ""#D1E3F4"", ""percent"": 2.46}, {""hex"": ""#D7A454"", ""percent"": 1.71}, {""hex"": ""#DBB892"", ""percent"": 0.79}, {""hex"": ""#F3B10E"", ""percent"": 0.41}]"
Australia,AUS,17,FW,IRANKUNDA Nestory,Nestory,IRANKUNDA,IRANKUNDA,09/02/2006,20,Watford FC (ENG),165,16,6,https://png.pngtree.com/png-vector/20250909/ourlarge/pngtree-focused-footballer-silhouette-in-action-preparing-to-kick-the-ball-png-image_17376673.webp,AU,https://flagsapi.com/AU/flat/64.png,"[{""hex"": ""#00008B"", ""percent"": 77.34}, {""hex"": ""#FEFEFE"", ""percent"": 9.37}, {""hex"": ""#FF0101"", ""percent"": 8.79}, {""hex"": ""#5656B3"", ""percent"": 1.68}, {""hex"": ""#D3D3EB"", ""percent"": 1.03}, {""hex"": ""#27279D"", ""percent"": 0.45}]"
Australia,AUS,24,MF,OKON-ENGSTLER Paul,Paul Michael Junior,OKON-ENGSTLER,OKON-ENGSTLER,24/01/2005,21,Sydney FC (AUS),185,7,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS1fYKIH5E1fNxH0__3pjZqBvRWEIttrUg4pGYlbeq6UQ&s=10,AU,https://flagsapi.com/AU/flat/64.png,"[{""hex"": ""#00008B"", ""percent"": 77.34}, {""hex"": ""#FEFEFE"", ""percent"": 9.37}, {""hex"": ""#FF0101"", ""percent"": 8.79}, {""hex"": ""#5656B3"", ""percent"": 1.68}, {""hex"": ""#D3D3EB"", ""percent"": 1.03}, {""hex"": ""#27279D"", ""percent"": 0.45}]"
Australia,AUS,25,DF,HERRINGTON Lucas,Lucas,HERRINGTON,HERRINGTON,05/09/2007,18,Colorado Rapids (USA),193,4,0,https://png.pngtree.com/recommend-works/png-clipart/20250422/ourlarge/pngtree-silhouette-dribbling-football-player-png-image_16056964.png,AU,https://flagsapi.com/AU/flat/64.png,"[{""hex"": ""#00008B"", ""percent"": 77.34}, {""hex"": ""#FEFEFE"", ""percent"": 9.37}, {""hex"": ""#FF0101"", ""percent"": 8.79}, {""hex"": ""#5656B3"", ""percent"": 1.68}, {""hex"": ""#D3D3EB"", ""percent"": 1.03}, {""hex"": ""#27279D"", ""percent"": 0.45}]"
Austria,AUT,24,MF,WANNER Paul,Paul,WANNER,WANNER,23/12/2005,20,PSV Eindhoven (NED),185,4,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS1fYKIH5E1fNxH0__3pjZqBvRWEIttrUg4pGYlbeq6UQ&s=10,AT,https://flagsapi.com/AT/flat/64.png,"[{""hex"": ""#ED2939"", ""percent"": 66}, {""hex"": ""#FFFFFF"", ""percent"": 32}, {""hex"": ""#F9B9BE"", ""percent"": 2}]"
Belgium,BEL,13,GK,PENDERS Mike,Mike Louis,PENDERS,PENDERS,31/07/2005,20,RC Strasbourg (FRA),200,0,0,https://www.citypng.com/public/uploads/preview/free-football-goal-keeper-black-silhouette-png-704081694878919l9wkwqlmuo.png,BE,https://flagsapi.com/BE/flat/64.png,"[{""hex"": ""#000000"", ""percent"": 33.33}, {""hex"": ""#ED2939"", ""percent"": 33.33}, {""hex"": ""#FAE042"", ""percent"": 33.33}]"
Belgium,BEL,18,DF,SEYS Joaquin,Joaquin Ronny,SEYS,SEYS,28/03/2005,21,Club Brugge (BEL),178,5,0,https://png.pngtree.com/recommend-works/png-clipart/20250422/ourlarge/pngtree-silhouette-dribbling-football-player-png-image_16056964.png,BE,https://flagsapi.com/BE/flat/64.png,"[{""hex"": ""#000000"", ""percent"": 33.33}, {""hex"": ""#ED2939"", ""percent"": 33.33}, {""hex"": ""#FAE042"", ""percent"": 33.33}]"
Belgium,BEL,19,MF,MOREIRA Diego,Diego Manuel J,DA SILVA MOREIRA,MOREIRA JR,06/08/2004,21,RC Strasbourg (FRA),179,3,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS1fYKIH5E1fNxH0__3pjZqBvRWEIttrUg4pGYlbeq6UQ&s=10,BE,https://flagsapi.com/BE/flat/64.png,"[{""hex"": ""#000000"", ""percent"": 33.33}, {""hex"": ""#ED2939"", ""percent"": 33.33}, {""hex"": ""#FAE042"", ""percent"": 33.33}]"
Belgium,BEL,26,FW,FERNANDEZ-PARDO Matias,Matias,FERNANDEZ-PARDO,FERNANDEZ-PARDO,03/02/2005,21,Lille OSC (FRA),188,3,0,https://png.pngtree.com/png-vector/20250909/ourlarge/pngtree-focused-footballer-silhouette-in-action-preparing-to-kick-the-ball-png-image_17376673.webp,BE,https://flagsapi.com/BE/flat/64.png,"[{""hex"": ""#000000"", ""percent"": 33.33}, {""hex"": ""#ED2939"", ""percent"": 33.33}, {""hex"": ""#FAE042"", ""percent"": 33.33}]"
Bosnia And Herzegovina,BIH,12,GK,JURKAS Mladen,Mladen,JURKAS,JURKAS,07/10/2007,18,FK Borac Banja Luka (BIH),193,0,0,https://www.citypng.com/public/uploads/preview/free-football-goal-keeper-black-silhouette-png-704081694878919l9wkwqlmuo.png,BA,https://flagsapi.com/BA/flat/64.png,"[{""hex"": ""#002395"", ""percent"": 70.1}, {""hex"": ""#FECB00"", ""percent"": 24.75}, {""hex"": ""#FDFDFE"", ""percent"": 3.16}, {""hex"": ""#97A6D4"", ""percent"": 0.76}, {""hex"": ""#7F774A"", ""percent"": 0.51}, {""hex"": ""#6177BD"", ""percent"": 0.49}]"
Bosnia And Herzegovina,BIH,19,FW,ALAJBEGOVIC Kerim,Kerim,ALAJBEGOVIĆ,ALAJBEGOVIĆ,21/09/2007,18,FC Red Bull Salzburg (AUT),186,12,1,https://png.pngtree.com/png-vector/20250909/ourlarge/pngtree-focused-footballer-silhouette-in-action-preparing-to-kick-the-ball-png-image_17376673.webp,BA,https://flagsapi.com/BA/flat/64.png,"[{""hex"": ""#002395"", ""percent"": 70.1}, {""hex"": ""#FECB00"", ""percent"": 24.75}, {""hex"": ""#FDFDFE"", ""percent"": 3.16}, {""hex"": ""#97A6D4"", ""percent"": 0.76}, {""hex"": ""#7F774A"", ""percent"": 0.51}, {""hex"": ""#6177BD"", ""percent"": 0.49}]"
Bosnia And Herzegovina,BIH,20,FW,BAJRAKTAREVIC Esmir,Esmir,BAJRAKTAREVIĆ,BAJRAKTAREVIĆ,10/03/2005,21,PSV Eindhoven (NED),175,18,1,https://png.pngtree.com/png-vector/20250909/ourlarge/pngtree-focused-footballer-silhouette-in-action-preparing-to-kick-the-ball-png-image_17376673.webp,BA,https://flagsapi.com/BA/flat/64.png,"[{""hex"": ""#002395"", ""percent"": 70.1}, {""hex"": ""#FECB00"", ""percent"": 24.75}, {""hex"": ""#FDFDFE"", ""percent"": 3.16}, {""hex"": ""#97A6D4"", ""percent"": 0.76}, {""hex"": ""#7F774A"", ""percent"": 0.51}, {""hex"": ""#6177BD"", ""percent"": 0.49}]"
Bosnia And Herzegovina,BIH,24,DF,MALIC Arjan,Arjan,MALIĆ,MALIĆ,28/08/2005,20,SK Sturm Graz (AUT),188,8,0,https://png.pngtree.com/recommend-works/png-clipart/20250422/ourlarge/pngtree-silhouette-dribbling-football-player-png-image_16056964.png,BA,https://flagsapi.com/BA/flat/64.png,"[{""hex"": ""#002395"", ""percent"": 70.1}, {""hex"": ""#FECB00"", ""percent"": 24.75}, {""hex"": ""#FDFDFE"", ""percent"": 3.16}, {""hex"": ""#97A6D4"", ""percent"": 0.76}, {""hex"": ""#7F774A"", ""percent"": 0.51}, {""hex"": ""#6177BD"", ""percent"": 0.49}]"
Bosnia And Herzegovina,BIH,26,MF,MAHMIC Ermin,Ermin,MAHMIĆ,MAHMIĆ,14/03/2005,21,FC Slovan Liberec (CZE),182,3,1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS1fYKIH5E1fNxH0__3pjZqBvRWEIttrUg4pGYlbeq6UQ&s=10,BA,https://flagsapi.com/BA/flat/64.png,"[{""hex"": ""#002395"", ""percent"": 70.1}, {""hex"": ""#FECB00"", ""percent"": 24.75}, {""hex"": ""#FDFDFE"", ""percent"": 3.16}, {""hex"": ""#97A6D4"", ""percent"": 0.76}, {""hex"": ""#7F774A"", ""percent"": 0.51}, {""hex"": ""#6177BD"", ""percent"": 0.49}]"
Brazil,BRA,19,FW,ENDRICK,Endrick Felipe,MOREIRA DE SOUSA PESSOA,ENDRICK,21/07/2006,19,Olympique Lyonnais (FRA),172,17,4,https://png.pngtree.com/png-vector/20250909/ourlarge/pngtree-focused-footballer-silhouette-in-action-preparing-to-kick-the-ball-png-image_17376673.webp,BR,https://flagsapi.com/BR/flat/64.png,"[{""hex"": ""#009B3A"", ""percent"": 68.17}, {""hex"": ""#FDDF00"", ""percent"": 17.08}, {""hex"": ""#012876"", ""percent"": 11.44}, {""hex"": ""#61B125"", ""percent"": 0.43}, {""hex"": ""#304F90"", ""percent"": 0.41}, {""hex"": ""#6FC790"", ""percent"": 0.22}]"
Brazil,BRA,26,FW,RAYAN,Rayan Vitor,SIMPLICIO ROCHA,RAYAN,03/08/2006,19,AFC Bournemouth (ENG),187,2,1,https://png.pngtree.com/png-vector/20250909/ourlarge/pngtree-focused-footballer-silhouette-in-action-preparing-to-kick-the-ball-png-image_17376673.webp,BR,https://flagsapi.com/BR/flat/64.png,"[{""hex"": ""#009B3A"", ""percent"": 68.17}, {""hex"": ""#FDDF00"", ""percent"": 17.08}, {""hex"": ""#012876"", ""percent"": 11.44}, {""hex"": ""#61B125"", ""percent"": 0.43}, {""hex"": ""#304F90"", ""percent"": 0.41}, {""hex"": ""#6FC790"", ""percent"": 0.22}]"
Canada,CAN,4,DF,DE FOUGEROLLES Luc,Luc,ROLLET DE FOUGEROLLES,DE FOUGEROLLES,12/10/2005,20,FCV Dender EH (BEL),183,15,0,https://png.pngtree.com/recommend-works/png-clipart/20250422/ourlarge/pngtree-silhouette-dribbling-football-player-png-image_16056964.png,CA,https://flagsapi.com/CA/flat/64.png,"[{""hex"": ""#FF0000"", ""percent"": 63.02}, {""hex"": ""#FFFFFF"", ""percent"": 35.58}, {""hex"": ""#FFD0D0"", ""percent"": 0.48}, {""hex"": ""#FF9191"", ""percent"": 0.45}, {""hex"": ""#FF2C2C"", ""percent"": 0.3}, {""hex"": ""#FF5050"", ""percent"": 0.19}]"
DR Congo,COD,6,MF,MUKAU Ngalayel,Ngal’ayel,MUKAU,MUKAU,03/11/2004,21,Lille OSC (FRA),186,15,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS1fYKIH5E1fNxH0__3pjZqBvRWEIttrUg4pGYlbeq6UQ&s=10,CD,https://flagsapi.com/CD/flat/64.png,"[{""hex"": ""#007FFF"", ""percent"": 65.81}, {""hex"": ""#CE1021"", ""percent"": 19.52}, {""hex"": ""#F7D518"", ""percent"": 11.62}, {""hex"": ""#539CB2"", ""percent"": 1.25}, {""hex"": ""#E16C1D"", ""percent"": 0.95}, {""hex"": ""#B1BD59"", ""percent"": 0.84}]"
DR Congo,COD,14,MF,SADIKI Noah,Noah Junior,SADIKI,SADIKI,17/12/2004,21,Sunderland AFC (ENG),165,21,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS1fYKIH5E1fNxH0__3pjZqBvRWEIttrUg4pGYlbeq6UQ&s=10,CD,https://flagsapi.com/CD/flat/64.png,"[{""hex"": ""#007FFF"", ""percent"": 65.81}, {""hex"": ""#CE1021"", ""percent"": 19.52}, {""hex"": ""#F7D518"", ""percent"": 11.62}, {""hex"": ""#539CB2"", ""percent"": 1.25}, {""hex"": ""#E16C1D"", ""percent"": 0.95}, {""hex"": ""#B1BD59"", ""percent"": 0.84}]"
DR Congo,COD,21,GK,EPOLO Matthieu,Matthieu Luka,EPOLO,EPOLO,15/01/2005,21,Standard Liège (BEL),183,1,0,https://www.citypng.com/public/uploads/preview/free-football-goal-keeper-black-silhouette-png-704081694878919l9wkwqlmuo.png,CD,https://flagsapi.com/CD/flat/64.png,"[{""hex"": ""#007FFF"", ""percent"": 65.81}, {""hex"": ""#CE1021"", ""percent"": 19.52}, {""hex"": ""#F7D518"", ""percent"": 11.62}, {""hex"": ""#539CB2"", ""percent"": 1.25}, {""hex"": ""#E16C1D"", ""percent"": 0.95}, {""hex"": ""#B1BD59"", ""percent"": 0.84}]"
Côte D'Ivoire,CIV,11,FW,DIOMANDE Yan,Yan,DIOMANDE,YAN DIOMANDE,14/11/2006,19,RB Leipzig (GER),180,11,3,https://png.pngtree.com/png-vector/20250909/ourlarge/pngtree-focused-footballer-silhouette-in-action-preparing-to-kick-the-ball-png-image_17376673.webp,CI,https://flagsapi.com/CI/flat/64.png,"[{""hex"": ""#FFFFFF"", ""percent"": 33.33}, {""hex"": ""#F77F00"", ""percent"": 33.33}, {""hex"": ""#009E60"", ""percent"": 33.33}]"
Côte D'Ivoire,CIV,24,FW,TOURE Bazoumana,Bazoumana,TOURE,TOURE,02/03/2006,20,TSG Hoffenheim (GER),178,7,2,https://png.pngtree.com/png-vector/20250909/ourlarge/pngtree-focused-footballer-silhouette-in-action-preparing-to-kick-the-ball-png-image_17376673.webp,CI,https://flagsapi.com/CI/flat/64.png,"[{""hex"": ""#FFFFFF"", ""percent"": 33.33}, {""hex"": ""#F77F00"", ""percent"": 33.33}, {""hex"": ""#009E60"", ""percent"": 33.33}]"
Côte D'Ivoire,CIV,26,MF,OULAI Christ Inao,Christ Ravynel Inao,OULAI,INAO,06/04/2006,20,Trabzonspor (TUR),173,10,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS1fYKIH5E1fNxH0__3pjZqBvRWEIttrUg4pGYlbeq6UQ&s=10,CI,https://flagsapi.com/CI/flat/64.png,"[{""hex"": ""#FFFFFF"", ""percent"": 33.33}, {""hex"": ""#F77F00"", ""percent"": 33.33}, {""hex"": ""#009E60"", ""percent"": 33.33}]"
Croatia,CRO,22,DF,VUSKOVIC Luka,Luka,VUŠKOVIĆ,VUŠKOVIĆ,24/02/2007,19,Hamburger SV (GER),193,6,1,https://png.pngtree.com/recommend-works/png-clipart/20250422/ourlarge/pngtree-silhouette-dribbling-football-player-png-image_16056964.png,HR,https://flagsapi.com/HR/flat/64.png,"[{""hex"": ""#FF0000"", ""percent"": 32.58}, {""hex"": ""#171796"", ""percent"": 32.49}, {""hex"": ""#FFFFFF"", ""percent"": 28.63}, {""hex"": ""#FD7071"", ""percent"": 1.19}, {""hex"": ""#B3B3DC"", ""percent"": 1.02}, {""hex"": ""#9C2639"", ""percent"": 0.13}]"
Czechia,CZE,25,MF,SOCHUREK Hugo,Hugo,SOCHŮREK,SOCHŮREK,07/06/2008,18,AC Sparta Praha (CZE),183,1,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS1fYKIH5E1fNxH0__3pjZqBvRWEIttrUg4pGYlbeq6UQ&s=10,CZ,https://flagsapi.com/CZ/flat/64.png,"[{""hex"": ""#FFFFFF"", ""percent"": 50.0}, {""hex"": ""#D7141A"", ""percent"": 25.0}, {""hex"": ""#11457E"", ""percent"": 25.0}]"
Ecuador,ECU,10,MF,PAEZ Kendry,Ray Kendry,PAEZ ANDRADE,KENDRY,04/05/2007,19,CA River Plate (ARG),178,26,2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS1fYKIH5E1fNxH0__3pjZqBvRWEIttrUg4pGYlbeq6UQ&s=10,EC,https://flagsapi.com/EC/flat/64.png,"[{""hex"": ""#FFDD00"", ""percent"": 46.95}, {""hex"": ""#ED1C24"", ""percent"": 25.45}, {""hex"": ""#034EA2"", ""percent"": 21.57}, {""hex"": ""#483220"", ""percent"": 1.03}, {""hex"": ""#42AAC9"", ""percent"": 0.34}, {""hex"": ""#4D9332"", ""percent"": 0.33}]"
