country,country_code,#,pos,player_name,first_names,last_names,name_on_shirt,dob,age,club,height_cm,caps,goals,player_image_url,flag_code,flag_url,flag_colors
Paraguay,PAR,26,DF,MAIDANA Alexandro,Alexandro,MAIDANA MENDIETA,MAIDANA,26/07/2005,20,CA Talleres (ARG),173,2,1,https://png.pngtree.com/recommend-works/png-clipart/20250422/ourlarge/pngtree-silhouette-dribbling-football-player-png-image_16056964.png,PY,https://flagsapi.com/PY/flat/64.png,"[{""hex"": ""#0038A8"", ""percent"": 33}, {""hex"": ""#D52B1E"", ""percent"": 33}, {""hex"": ""#FFFFFF"", ""percent"": 29.89}, {""hex"": ""#ABBDE2"", ""percent"": 1.82}, {""hex"": ""#F1B8B4"", ""percent"": 1.03}, {""hex"": ""#309556"", ""percent"": 0.17}]"
Portugal,POR,15,MF,JOAO NEVES,João Pedro,GONÇALVES NEVES,JOÃO NEVES,27/09/2004,21,Paris Saint-Germain (FRA),171,23,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS1fYKIH5E1fNxH0__3pjZqBvRWEIttrUg4pGYlbeq6UQ&s=10,PT,https://flagsapi.com/PT/flat/64.png,"[{""hex"": ""#FF0000"", ""percent"": 55.75}, {""hex"": ""#006600"", ""percent"": 34.19}, {""hex"": ""#959E01"", ""percent"": 2.6}, {""hex"": ""#FDFDFE"", ""percent"": 1.47}, {""hex"": ""#2F59AC"", ""percent"": 0.43}, {""hex"": ""#BA5F41"", ""percent"": 0.05}]"
Qatar,QAT,13,DF,AYOUB ALOUI,Ayoub Mohamed,ALOUI,AYOUB,11/03/2005,21,Al Gharafa SC (QAT),181,9,0,https://png.pngtree.com/recommend-works/png-clipart/20250422/ourlarge/pngtree-silhouette-dribbling-football-player-png-image_16056964.png,QA,https://flagsapi.com/QA/flat/64.png,"[{""hex"": ""#8D1B3D"", ""percent"": 66.21}, {""hex"": ""#FFFFFF"", ""percent"": 32.75}, {""hex"": ""#B2657D"", ""percent"": 0.56}, {""hex"": ""#E5CAD2"", ""percent"": 0.48}]"
Qatar,QAT,24,FW,TAHSIN MOHAMMED,Tahsin Mohammad,JAMSHID,TAHSIN,16/06/2006,20,Al Duhail SC (QAT),166,5,0,https://png.pngtree.com/png-vector/20250909/ourlarge/pngtree-focused-footballer-silhouette-in-action-preparing-to-kick-the-ball-png-image_17376673.webp,QA,https://flagsapi.com/QA/flat/64.png,"[{""hex"": ""#8D1B3D"", ""percent"": 66.21}, {""hex"": ""#FFFFFF"", ""percent"": 32.75}, {""hex"": ""#B2657D"", ""percent"": 0.56}, {""hex"": ""#E5CAD2"", ""percent"": 0.48}]"
Scotland,SCO,8,MF,FLETCHER Tyler,Tyler Robert,FLETCHER,FLETCHER,19/03/2007,19,Manchester United FC (ENG),183,2,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS1fYKIH5E1fNxH0__3pjZqBvRWEIttrUg4pGYlbeq6UQ&s=10,GB-SCT,https://flagsapi.com/GB-SCT/flat/64.png,"[{""hex"": ""#0065BD"", ""percent"": 66.7}, {""hex"": ""#FFFFFF"", ""percent"": 33.3}]"
Scotland,SCO,17,FW,GANNON-DOAK Ben,Ben Gannon,DOAK,GANNON DOAK,11/11/2005,20,AFC Bournemouth (ENG),173,15,1,https://png.pngtree.com/png-vector/20250909/ourlarge/pngtree-focused-footballer-silhouette-in-action-preparing-to-kick-the-ball-png-image_17376673.webp,GB-SCT,https://flagsapi.com/GB-SCT/flat/64.png,"[{""hex"": ""#0065BD"", ""percent"": 66.7}, {""hex"": ""#FFFFFF"", ""percent"": 33.3}]"
Scotland,SCO,25,FW,CURTIS Findlay,Findlay Kenneth,CURTIS,CURTIS,09/06/2006,20,Kilmarnock FC (SCO),180,4,1,https://png.pngtree.com/png-vector/20250909/ourlarge/pngtree-focused-footballer-silhouette-in-action-preparing-to-kick-the-ball-png-image_17376673.webp,GB-SCT,https://flagsapi.com/GB-SCT/flat/64.png,"[{""hex"": ""#0065BD"", ""percent"": 66.7}, {""hex"": ""#FFFFFF"", ""percent"": 33.3}]"
Senegal,SEN,2,DF,SARR Mamadou,Mamadou,SARR,SARR,29/08/2005,20,Chelsea FC (ENG),194,8,0,https://png.pngtree.com/recommend-works/png-clipart/20250422/ourlarge/pngtree-silhouette-dribbling-football-player-png-image_16056964.png,SN,https://flagsapi.com/SN/flat/64.png,"[{""hex"": ""#00853F"", ""percent"": 35.23}, {""hex"": ""#E31B23"", ""percent"": 33.33}, {""hex"": ""#FDEF42"", ""percent"": 31.15}, {""hex"": ""#71B540"", ""percent"": 0.22}, {""hex"": ""#ABCD41"", ""percent"": 0.07}]"
Senegal,SEN,7,FW,DIAO Assane,Assane,DIAO,A. DIAO,07/09/2005,20,Como (ITA),185,5,0,https://png.pngtree.com/png-vector/20250909/ourlarge/pngtree-focused-footballer-silhouette-in-action-preparing-to-kick-the-ball-png-image_17376673.webp,SN,https://flagsapi.com/SN/flat/64.png,"[{""hex"": ""#00853F"", ""percent"": 35.23}, {""hex"": ""#E31B23"", ""percent"": 33.33}, {""hex"": ""#FDEF42"", ""percent"": 31.15}, {""hex"": ""#71B540"", ""percent"": 0.22}, {""hex"": ""#ABCD41"", ""percent"": 0.07}]"
Senegal,SEN,20,FW,MBAYE Ibrahim,Ibrahim,MBAYE,I. MBAYE,24/01/2008,18,Paris Saint-Germain (FRA),175,12,4,https://png.pngtree.com/png-vector/20250909/ourlarge/pngtree-focused-footballer-silhouette-in-action-preparing-to-kick-the-ball-png-image_17376673.webp,SN,https://flagsapi.com/SN/flat/64.png,"[{""hex"": ""#00853F"", ""percent"": 35.23}, {""hex"": ""#E31B23"", ""percent"": 33.33}, {""hex"": ""#FDEF42"", ""percent"": 31.15}, {""hex"": ""#71B540"", ""percent"": 0.22}, {""hex"": ""#ABCD41"", ""percent"": 0.07}]"
Senegal,SEN,22,MF,NDIAYE Bara Sapoko,Bara Sapoko,NDIAYE,BARA,31/12/2007,18,FC Bayern München (GER),180,1,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS1fYKIH5E1fNxH0__3pjZqBvRWEIttrUg4pGYlbeq6UQ&s=10,SN,https://flagsapi.com/SN/flat/64.png,"[{""hex"": ""#00853F"", ""percent"": 35.23}, {""hex"": ""#E31B23"", ""percent"": 33.33}, {""hex"": ""#FDEF42"", ""percent"": 31.15}, {""hex"": ""#71B540"", ""percent"": 0.22}, {""hex"": ""#ABCD41"", ""percent"": 0.07}]"
Senegal,SEN,25,DF,DIOUF El Hadji Malick,El Hadji Malick,DIOUF,DIOUF,29/12/2004,21,West Ham United FC (ENG),177,21,1,https://png.pngtree.com/recommend-works/png-clipart/20250422/ourlarge/pngtree-silhouette-dribbling-football-player-png-image_16056964.png,SN,https://flagsapi.com/SN/flat/64.png,"[{""hex"": ""#00853F"", ""percent"": 35.23}, {""hex"": ""#E31B23"", ""percent"": 33.33}, {""hex"": ""#FDEF42"", ""percent"": 31.15}, {""hex"": ""#71B540"", ""percent"": 0.22}, {""hex"": ""#ABCD41"", ""percent"": 0.07}]"
South Africa,RSA,10,FW,MOFOKENG Relebohile,Relebohile,MOFOKENG,MOFOKENG,23/10/2004,21,Orlando Pirates FC (RSA),168,15,1,https://png.pngtree.com/png-vector/20250909/ourlarge/pngtree-focused-footballer-silhouette-in-action-preparing-to-kick-the-ball-png-image_17376673.webp,ZA,https://flagsapi.com/ZA/flat/64.png,"[{""hex"": ""#007A4D"", ""percent"": 30.66}, {""hex"": ""#002395"", ""percent"": 20.85}, {""hex"": ""#DE3831"", ""percent"": 20.85}, {""hex"": ""#FEFEFE"", ""percent"": 11.04}, {""hex"": ""#000000"", ""percent"": 8.8}, {""hex"": ""#FDB512"", ""percent"": 4.97}]"
South Africa,RSA,14,DF,MBOKAZI Mbekezeli,Mbekezeli Mfanu,MBOKAZI,MBOKAZI,19/09/2005,20,Chicago Fire FC (USA),177,12,1,https://png.pngtree.com/recommend-works/png-clipart/20250422/ourlarge/pngtree-silhouette-dribbling-football-player-png-image_16056964.png,ZA,https://flagsapi.com/ZA/flat/64.png,"[{""hex"": ""#007A4D"", ""percent"": 30.66}, {""hex"": ""#002395"", ""percent"": 20.85}, {""hex"": ""#DE3831"", ""percent"": 20.85}, {""hex"": ""#FEFEFE"", ""percent"": 11.04}, {""hex"": ""#000000"", ""percent"": 8.8}, {""hex"": ""#FDB512"", ""percent"": 4.97}]"
Spain,ESP,9,MF,GAVI,Pablo,PAEZ GAVIRA,GAVI,05/08/2004,21,FC Barcelona (ESP),173,31,5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS1fYKIH5E1fNxH0__3pjZqBvRWEIttrUg4pGYlbeq6UQ&s=10,ES,https://flagsapi.com/ES/flat/64.png,"[{""hex"": ""#C60B1E"", ""percent"": 50.01}, {""hex"": ""#FFC400"", ""percent"": 43.6}, {""hex"": ""#975C11"", ""percent"": 1.74}, {""hex"": ""#9E2918"", ""percent"": 1.37}, {""hex"": ""#B08F07"", ""percent"": 1.29}, {""hex"": ""#CEB56B"", ""percent"": 0.18}]"
Spain,ESP,19,FW,YAMAL Lamine,Lamine Yamal,NASRAOUI EBANA,LAMINE YAMAL,13/07/2007,18,FC Barcelona (ESP),183,26,6,https://png.pngtree.com/png-vector/20250909/ourlarge/pngtree-focused-footballer-silhouette-in-action-preparing-to-kick-the-ball-png-image_17376673.webp,ES,https://flagsapi.com/ES/flat/64.png,"[{""hex"": ""#C60B1E"", ""percent"": 50.01}, {""hex"": ""#FFC400"", ""percent"": 43.6}, {""hex"": ""#975C11"", ""percent"": 1.74}, {""hex"": ""#9E2918"", ""percent"": 1.37}, {""hex"": ""#B08F07"", ""percent"": 1.29}, {""hex"": ""#CEB56B"", ""percent"": 0.18}]"
Spain,ESP,22,DF,CUBARSI Pau,Pau,CUBARSI I PAREDES,CUBARSÍ,22/01/2007,19,FC Barcelona (ESP),183,13,0,https://png.pngtree.com/recommend-works/png-clipart/20250422/ourlarge/pngtree-silhouette-dribbling-football-player-png-image_16056964.png,ES,https://flagsapi.com/ES/flat/64.png,"[{""hex"": ""#C60B1E"", ""percent"": 50.01}, {""hex"": ""#FFC400"", ""percent"": 43.6}, {""hex"": ""#975C11"", ""percent"": 1.74}, {""hex"": ""#9E2918"", ""percent"": 1.37}, {""hex"": ""#B08F07"", ""percent"": 1.29}, {""hex"": ""#CEB56B"", ""percent"": 0.18}]"
Sweden,SWE,7,MF,BERGVALL Lucas,Lucas Erik Holger,BERGVALL,BERGVALL,02/02/2006,20,Tottenham Hotspur FC (ENG),187,11,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS1fYKIH5E1fNxH0__3pjZqBvRWEIttrUg4pGYlbeq6UQ&s=10,SE,https://flagsapi.com/SE/flat/64.png,"[{""hex"": ""#006AA7"", ""percent"": 70}, {""hex"": ""#FECC00"", ""percent"": 30}]"
Switzerland,SUI,9,MF,MANZAMBI Johan,Johan Kula,MANZAMBI,MANZAMBI,14/10/2005,20,SC Freiburg (GER),182,14,5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS1fYKIH5E1fNxH0__3pjZqBvRWEIttrUg4pGYlbeq6UQ&s=10,CH,https://flagsapi.com/CH/flat/64.png,"[{""hex"": ""#FF0000"", ""percent"": 78.48}, {""hex"": ""#FFFFFF"", ""percent"": 19.08}, {""hex"": ""#FF6060"", ""percent"": 2.4}, {""hex"": ""#FF9C9C"", ""percent"": 0.04}]"
Tunisia,TUN,5,DF,AROUS Adam,Adam,AROUS,AROUS,17/07/2004,21,Kasımpaşa SK (TUR),188,2,0,https://png.pngtree.com/recommend-works/png-clipart/20250422/ourlarge/pngtree-silhouette-dribbling-football-player-png-image_16056964.png,TN,https://flagsapi.com/TN/flat/64.png,"[{""hex"": ""#E70013"", ""percent"": 89.93}, {""hex"": ""#FFFEFE"", ""percent"": 8.77}, {""hex"": ""#F16C77"", ""percent"": 1.01}, {""hex"": ""#F7ADB4"", ""percent"": 0.21}, {""hex"": ""#EC3847"", ""percent"": 0.09}]"
Tunisia,TUN,14,MF,AYARI Khalil,Khalil,AYARI,AYARI,02/02/2005,21,Paris Saint-Germain (FRA),174,4,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS1fYKIH5E1fNxH0__3pjZqBvRWEIttrUg4pGYlbeq6UQ&s=10,TN,https://flagsapi.com/TN/flat/64.png,"[{""hex"": ""#E70013"", ""percent"": 89.93}, {""hex"": ""#FFFEFE"", ""percent"": 8.77}, {""hex"": ""#F16C77"", ""percent"": 1.01}, {""hex"": ""#F7ADB4"", ""percent"": 0.21}, {""hex"": ""#EC3847"", ""percent"": 0.09}]"
Tunisia,TUN,18,FW,ELLOUMI Rayan,Rayan,ELLOUMI,ELLOUMI,17/09/2007,18,Vancouver Whitecaps FC (CAN),180,4,0,https://png.pngtree.com/png-vector/20250909/ourlarge/pngtree-focused-footballer-silhouette-in-action-preparing-to-kick-the-ball-png-image_17376673.webp,TN,https://flagsapi.com/TN/flat/64.png,"[{""hex"": ""#E70013"", ""percent"": 89.93}, {""hex"": ""#FFFEFE"", ""percent"": 8.77}, {""hex"": ""#F16C77"", ""percent"": 1.01}, {""hex"": ""#F7ADB4"", ""percent"": 0.21}, {""hex"": ""#EC3847"", ""percent"": 0.09}]"
Tunisia,TUN,23,DF,NEFFATI Moutaz,Moutaz,NEFFATI,NEFFATI,04/09/2004,21,IFK Norrköping FK (SWE),182,5,0,https://png.pngtree.com/recommend-works/png-clipart/20250422/ourlarge/pngtree-silhouette-dribbling-football-player-png-image_16056964.png,TN,https://flagsapi.com/TN/flat/64.png,"[{""hex"": ""#E70013"", ""percent"": 89.93}, {""hex"": ""#FFFEFE"", ""percent"": 8.77}, {""hex"": ""#F16C77"", ""percent"": 1.01}, {""hex"": ""#F7ADB4"", ""percent"": 0.21}, {""hex"": ""#EC3847"", ""percent"": 0.09}]"
Turkey,TUR,8,FW,GULER Arda,Arda,GÜLER,ARDA GÜLER,25/02/2005,21,Real Madrid C. F. (ESP),175,31,6,https://png.pngtree.com/png-vector/20250909/ourlarge/pngtree-focused-footballer-silhouette-in-action-preparing-to-kick-the-ball-png-image_17376673.webp,TR,https://flagsapi.com/TR/flat/64.png,"[{""hex"": ""#E30A17"", ""percent"": 93.37}, {""hex"": ""#FFFEFE"", ""percent"": 5.2}, {""hex"": ""#F9CDD0"", ""percent"": 0.57}, {""hex"": ""#EF7279"", ""percent"": 0.57}, {""hex"": ""#EA4953"", ""percent"": 0.29}]"
Turkey,TUR,9,FW,GUL Deniz,Deniz Daniel,GÜL,DENİZ GÜL,02/07/2004,21,FC Porto (POR),192,9,2,https://png.pngtree.com/png-vector/20250909/ourlarge/pngtree-focused-footballer-silhouette-in-action-preparing-to-kick-the-ball-png-image_17376673.webp,TR,https://flagsapi.com/TR/flat/64.png,"[{""hex"": ""#E30A17"", ""percent"": 93.37}, {""hex"": ""#FFFEFE"", ""percent"": 5.2}, {""hex"": ""#F9CDD0"", ""percent"": 0.57}, {""hex"": ""#EF7279"", ""percent"": 0.57}, {""hex"": ""#EA4953"", ""percent"": 0.29}]"
Turkey,TUR,11,FW,YILDIZ Kenan,Kenan,YILDIZ,YILDIZ,04/05/2005,21,Juventus FC (ITA),187,29,5,https://png.pngtree.com/png-vector/20250909/ourlarge/pngtree-focused-footballer-silhouette-in-action-preparing-to-kick-the-ball-png-image_17376673.webp,TR,https://flagsapi.com/TR/flat/64.png,"[{""hex"": ""#E30A17"", ""percent"": 93.37}, {""hex"": ""#FFFEFE"", ""percent"": 5.2}, {""hex"": ""#F9CDD0"", ""percent"": 0.57}, {""hex"": ""#EF7279"", ""percent"": 0.57}, {""hex"": ""#EA4953"", ""percent"": 0.29}]"
Turkey,TUR,26,FW,UZUN Can,Can Yılmaz,UZUN,CAN UZUN,11/11/2005,20,Eintracht Frankfurt (GER),186,6,1,https://png.pngtree.com/png-vector/20250909/ourlarge/pngtree-focused-footballer-silhouette-in-action-preparing-to-kick-the-ball-png-image_17376673.webp,TR,https://flagsapi.com/TR/flat/64.png,"[{""hex"": ""#E30A17"", ""percent"": 93.37}, {""hex"": ""#FFFEFE"", ""percent"": 5.2}, {""hex"": ""#F9CDD0"", ""percent"": 0.57}, {""hex"": ""#EF7279"", ""percent"": 0.57}, {""hex"": ""#EA4953"", ""percent"": 0.29}]"
United States,USA,16,DF,FREEMAN Alex,Alexander Michael,FREEMAN,FREEMAN,09/08/2004,21,Villarreal CF (ESP),188,18,2,https://png.pngtree.com/recommend-works/png-clipart/20250422/ourlarge/pngtree-silhouette-dribbling-football-player-png-image_16056964.png,US,https://flagsapi.com/US/flat/64.png,"[{""hex"": ""#B22234"", ""percent"": 37.2}, {""hex"": ""#FEFEFE"", ""percent"": 33.99}, {""hex"": ""#3C3B6E"", ""percent"": 18.11}, {""hex"": ""#CA6673"", ""percent"": 4.4}, {""hex"": ""#EDCDD1"", ""percent"": 3.18}, {""hex"": ""#DC9AA2"", ""percent"": 1.6}]"
Uzbekistan,UZB,24,DF,KARIMOV Behruzjon,Behruzjon,KARIMOV,KARIMOV,07/08/2007,18,Surkhon FK (UZB),172,3,0,https://png.pngtree.com/recommend-works/png-clipart/20250422/ourlarge/pngtree-silhouette-dribbling-football-player-png-image_16056964.png,UZ,https://flagsapi.com/UZ/flat/64.png,"[{""hex"": ""#FFFFFF"", ""percent"": 32.73}, {""hex"": ""#1EB53A"", ""percent"": 32}, {""hex"": ""#0099B5"", ""percent"": 30.73}, {""hex"": ""#CE1126"", ""percent"": 4}, {""hex"": ""#4EB8CC"", ""percent"": 0.34}, {""hex"": ""#89D0DD"", ""percent"": 0.21}]"
Guatemala,GUA,10,MF,DIAZ Devin,Devin,DIAZ,DEVIN DIAZ,17/04/2004,21,FC Barcelona (ESP),173,71,21,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS1fYKIH5E1fNxH0__3pjZqBvRWEIttrUg4pGYlbeq6UQ&s=10,GT,https://flagsapi.com/GT/flat/64.png,"[{""hex"": ""#4997D0"", ""percent"": 40.0}, {""hex"": ""#FFFFFF"", ""percent"": 39.0}, {""hex"": ""#4997D0"", ""percent"": 19.0}, {""hex"": ""#D9D9D9"", ""percent"": 1.0}, {""hex"": ""#2F6F9E"", ""percent"": 1.0}]"